Token,"Price ($) as of 01 June, 07:15 AM UTC",Reported Market Cap,Released %,Upcoming Unlock Value
GFAL,0.000939,$4.93M,68.33%,$44.98K
SVL,0.006756,$11.62M,87.58%,$32.48K
WMTX,0.042,$36.30M,53.90%,$212.26K
ENA,0.088,$791.49M,55.07%,$3.56M
ATH,0.045,$394.31K,19.12%,$3.25K
CXT,0.005308,$5.13M,67.96%,$22.12K
HONEY,0.001817,$10.56M,73.29%,$63.02K
NAVX,0.008911,$7.29M,86.50%,$25.87K
STIK,0.197,N/A,31.83%,$295.56K
HMX,0.054,$246.42K,79.48%,$7.75K
ACS,0.000171,$8.43M,10.75%,$46.92K
AERO,0.412,$389.02M,61.96%,$7.00
DEVVE,0.034,$2.97M,35.52%,$28.29K
MMT,0.128,$26.24M,6.12%,$633.38K
AURORA,0.029,$20.26M,51.99%,$152.37K
DCK,0.000154,$109.53K,95.79%,$697.14
ACE,0.119,$11.76M,68.23%,$49.25K
NYAN,0.000603,$88.21K,28.39%,$1.19K
OPN,0.135,$19.28M,29.48%,$4.32M
AA,0.000238,$59.09K,5.90%,$47.69
HYPE,73.11,$16.32B,43.52%,$39.04M
NTX,0.002689,$2.33M,97.20%,$6.83K
RED,0.12,$48.46M,37.58%,$4.90M
BB,0.027,$11.27M,54.81%,$822.66K
FORT,0.015,$9.33M,61.57%,$734.45
HFT,0.012,$9.58M,81.92%,$139.27K
NYM,0.023,$19.01M,90.90%,$41.44K
IN,0.095,$31.61M,33.93%,$554.99K
MLK,0.046,$25.36M,77.56%,$88.47K
VRTX,0.000117,$61.83K,71.49%,$936.16
SXT,0.012,$30.21M,41.17%,$948.62K
WET,0.069,$15.82M,23.00%,$17.60M
MOVE,0.015,$57.97M,36.73%,$2.49M
BABY,0.014,$52.74M,19.48%,$1.94M
COPI,0.002622,$2.71M,53.40%,$40.27K
GODS,0.034,$13.42M,84.24%,$88.65K
HOME,0.046,$173.27M,37.50%,$34.16M
IOTA,0.059,$265.21M,85.16%,$734.20K
ME,0.085,$47.40M,50.61%,$14.55M
TRUF,0.004433,$2.35M,52.31%,$23.76K
LINEA,0.00312,$94.08M,39.83%,$3.37M
AGI,0.007675,$19.90M,77.56%,$529.86K
PUFFER,0.021,$9.74M,23.25%,$405.88K
IO,0.178,$61.73M,43.96%,$2.37M
DCB,0.000073,$29.60K,94.38%,$597.80
HTM,0.015,$1.21M,83.66%,$5.11K
PEAQ,0.03,$65.29M,38.71%,$2.54M
APT,0.934,$769.27M,66.20%,$10.57M
W,0.013,$75.90M,59.44%,$642.01K
CHEEL,0.437,N/A,79.42%,$2.80M
GSWIFT,0.000451,$209.74K,43.73%,$2.45K
HOOK,0.008258,$2.38M,73.67%,$34.41K
PEPTAI,N/A,N/A,61.00%,$0.00
GAL,0.343,$43.89M,89.83%,$201.40K
TRIBL,0.000045,$682.22M,94.23%,$428.44
CYPR,0.00817,$805.66K,11.04%,$18.85K
CYBER,0.832,$47.41M,70.18%,$737.67K
XCN,0.004472,$171.18M,79.72%,$1.33M
WCT,0.056,$10.37M,40.30%,$702.02K
CONX,12.45,$30.61M,89.92%,$16.47M
FUN,0.066,$11.72M,26.52%,$1.24M
STRK,0.039,$245.49M,32.66%,$4.90M
SEI,0.067,$453.73M,59.46%,$3.74M
ARB,0.102,$637.97M,55.16%,$9.45M
ASTR,0.007392,$64.21M,55.96%,$71.87K
MMX,0.007603,$1.30M,54.03%,$12.67K
FLIX,0.003464,$1.79M,57.74%,$30.61K
YALA,0.000251,$73.40K,26.71%,$2.57K
YZY,0.304,$39.41M,48.75%,$6.32M
ZK,0.014,$140.54M,30.23%,$2.50M
